,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Team
0,1,Antonio Reeves,33,33,31.4,7.1,13.9,0.512,4.6,8.2,0.557,2.5,5.7,0.447,3.4,4.0,0.863,0.7,3.4,4.2,1.6,0.7,0.2,1.2,1.8,20.2,2024,Kentucky
1,2,Rob Dillingham,32,1,23.3,5.4,11.3,0.475,3.4,6.8,0.495,2.0,4.5,0.444,2.4,3.1,0.796,0.3,2.7,2.9,3.9,1.0,0.1,2.0,2.6,15.2,2024,Kentucky
2,3,Reed Sheppard,33,5,28.9,4.3,8.0,0.536,2.0,3.6,0.555,2.3,4.4,0.521,1.6,2.0,0.831,0.4,3.8,4.1,4.5,2.5,0.7,2.0,1.9,12.5,2024,Kentucky
3,4,Tre Mitchell,27,24,30.3,3.8,7.9,0.484,2.9,4.9,0.595,0.9,3.0,0.305,2.1,2.9,0.744,1.8,5.4,7.2,2.6,0.7,1.0,1.4,2.6,10.7,2024,Kentucky
4,5,D.J. Wagner,29,28,25.8,3.6,8.9,0.405,2.7,5.6,0.472,1.0,3.3,0.292,1.7,2.2,0.766,0.2,1.7,1.9,3.3,0.8,0.2,1.5,1.6,9.9,2024,Kentucky
5,6,Justin Edwards,32,30,21.4,3.3,6.8,0.486,2.3,4.2,0.564,1.0,2.7,0.365,1.2,1.5,0.776,1.2,2.2,3.4,0.9,0.9,0.2,0.8,2.2,8.8,2024,Kentucky
6,7,Adou Thiero,25,19,21.4,2.6,5.3,0.492,2.3,4.4,0.527,0.3,0.9,0.318,1.8,2.2,0.8,1.5,3.4,5.0,1.1,0.7,1.1,0.7,2.1,7.2,2024,Kentucky
7,8,Zvonimir Ivisic,15,0,11.7,2.0,3.5,0.577,1.6,2.4,0.667,0.4,1.1,0.375,1.1,1.5,0.773,1.1,2.2,3.3,0.6,0.3,1.3,1.0,1.5,5.5,2024,Kentucky
8,9,Aaron Bradshaw,26,10,13.7,1.9,3.3,0.576,1.7,2.7,0.634,0.2,0.5,0.286,1.0,1.7,0.568,1.3,2.0,3.3,0.3,0.3,0.7,0.3,2.0,4.9,2024,Kentucky
9,10,Ugonna Onyenso,24,14,18.8,1.4,2.5,0.55,1.4,2.5,0.559,0.0,0.0,0.0,0.8,1.4,0.588,1.8,3.0,4.8,0.2,0.3,2.8,0.7,1.4,3.6,2024,Kentucky
10,11,Jordan Burks,20,0,7.2,0.8,1.3,0.6,0.7,1.0,0.65,0.1,0.3,0.4,0.3,0.5,0.556,0.5,1.2,1.7,0.3,0.2,0.2,0.3,1.2,1.9,2024,Kentucky
11,12,Joey Hart,7,0,1.4,0.1,0.3,0.5,0.0,0.1,0.0,0.1,0.1,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,2024,Kentucky
12,13,Brennan Canada,5,0,0.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,2024,Kentucky
13,14,Grant Darbyshire,4,0,0.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,Kentucky
14,15,Walker Horn,4,0,0.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,Kentucky
15,16,Kareem Watkins,6,1,0.8,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,2024,Kentucky
16,1,Antonio Reeves,33,33,31.4,7.1,13.9,0.512,4.6,8.2,0.557,2.5,5.7,0.447,3.4,4.0,0.863,0.7,3.4,4.2,1.6,0.7,0.2,1.2,1.8,20.2,2023,Kentucky
17,2,Rob Dillingham,32,1,23.3,5.4,11.3,0.475,3.4,6.8,0.495,2.0,4.5,0.444,2.4,3.1,0.796,0.3,2.7,2.9,3.9,1.0,0.1,2.0,2.6,15.2,2023,Kentucky
18,3,Reed Sheppard,33,5,28.9,4.3,8.0,0.536,2.0,3.6,0.555,2.3,4.4,0.521,1.6,2.0,0.831,0.4,3.8,4.1,4.5,2.5,0.7,2.0,1.9,12.5,2023,Kentucky
19,4,Tre Mitchell,27,24,30.3,3.8,7.9,0.484,2.9,4.9,0.595,0.9,3.0,0.305,2.1,2.9,0.744,1.8,5.4,7.2,2.6,0.7,1.0,1.4,2.6,10.7,2023,Kentucky
20,5,D.J. Wagner,29,28,25.8,3.6,8.9,0.405,2.7,5.6,0.472,1.0,3.3,0.292,1.7,2.2,0.766,0.2,1.7,1.9,3.3,0.8,0.2,1.5,1.6,9.9,2023,Kentucky
21,6,Justin Edwards,32,30,21.4,3.3,6.8,0.486,2.3,4.2,0.564,1.0,2.7,0.365,1.2,1.5,0.776,1.2,2.2,3.4,0.9,0.9,0.2,0.8,2.2,8.8,2023,Kentucky
22,7,Adou Thiero,25,19,21.4,2.6,5.3,0.492,2.3,4.4,0.527,0.3,0.9,0.318,1.8,2.2,0.8,1.5,3.4,5.0,1.1,0.7,1.1,0.7,2.1,7.2,2023,Kentucky
23,8,Zvonimir Ivisic,15,0,11.7,2.0,3.5,0.577,1.6,2.4,0.667,0.4,1.1,0.375,1.1,1.5,0.773,1.1,2.2,3.3,0.6,0.3,1.3,1.0,1.5,5.5,2023,Kentucky
24,9,Aaron Bradshaw,26,10,13.7,1.9,3.3,0.576,1.7,2.7,0.634,0.2,0.5,0.286,1.0,1.7,0.568,1.3,2.0,3.3,0.3,0.3,0.7,0.3,2.0,4.9,2023,Kentucky
25,10,Ugonna Onyenso,24,14,18.8,1.4,2.5,0.55,1.4,2.5,0.559,0.0,0.0,0.0,0.8,1.4,0.588,1.8,3.0,4.8,0.2,0.3,2.8,0.7,1.4,3.6,2023,Kentucky
26,11,Jordan Burks,20,0,7.2,0.8,1.3,0.6,0.7,1.0,0.65,0.1,0.3,0.4,0.3,0.5,0.556,0.5,1.2,1.7,0.3,0.2,0.2,0.3,1.2,1.9,2023,Kentucky
27,12,Joey Hart,7,0,1.4,0.1,0.3,0.5,0.0,0.1,0.0,0.1,0.1,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,2023,Kentucky
28,13,Brennan Canada,5,0,0.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,2023,Kentucky
29,14,Grant Darbyshire,4,0,0.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,Kentucky
30,15,Walker Horn,4,0,0.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,Kentucky
31,16,Kareem Watkins,6,1,0.8,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,2023,Kentucky
32,1,Antonio Reeves,33,33,31.4,7.1,13.9,0.512,4.6,8.2,0.557,2.5,5.7,0.447,3.4,4.0,0.863,0.7,3.4,4.2,1.6,0.7,0.2,1.2,1.8,20.2,2022,Kentucky
33,2,Rob Dillingham,32,1,23.3,5.4,11.3,0.475,3.4,6.8,0.495,2.0,4.5,0.444,2.4,3.1,0.796,0.3,2.7,2.9,3.9,1.0,0.1,2.0,2.6,15.2,2022,Kentucky
34,3,Reed Sheppard,33,5,28.9,4.3,8.0,0.536,2.0,3.6,0.555,2.3,4.4,0.521,1.6,2.0,0.831,0.4,3.8,4.1,4.5,2.5,0.7,2.0,1.9,12.5,2022,Kentucky
35,4,Tre Mitchell,27,24,30.3,3.8,7.9,0.484,2.9,4.9,0.595,0.9,3.0,0.305,2.1,2.9,0.744,1.8,5.4,7.2,2.6,0.7,1.0,1.4,2.6,10.7,2022,Kentucky
36,5,D.J. Wagner,29,28,25.8,3.6,8.9,0.405,2.7,5.6,0.472,1.0,3.3,0.292,1.7,2.2,0.766,0.2,1.7,1.9,3.3,0.8,0.2,1.5,1.6,9.9,2022,Kentucky
37,6,Justin Edwards,32,30,21.4,3.3,6.8,0.486,2.3,4.2,0.564,1.0,2.7,0.365,1.2,1.5,0.776,1.2,2.2,3.4,0.9,0.9,0.2,0.8,2.2,8.8,2022,Kentucky
38,7,Adou Thiero,25,19,21.4,2.6,5.3,0.492,2.3,4.4,0.527,0.3,0.9,0.318,1.8,2.2,0.8,1.5,3.4,5.0,1.1,0.7,1.1,0.7,2.1,7.2,2022,Kentucky
39,8,Zvonimir Ivisic,15,0,11.7,2.0,3.5,0.577,1.6,2.4,0.667,0.4,1.1,0.375,1.1,1.5,0.773,1.1,2.2,3.3,0.6,0.3,1.3,1.0,1.5,5.5,2022,Kentucky
40,9,Aaron Bradshaw,26,10,13.7,1.9,3.3,0.576,1.7,2.7,0.634,0.2,0.5,0.286,1.0,1.7,0.568,1.3,2.0,3.3,0.3,0.3,0.7,0.3,2.0,4.9,2022,Kentucky
41,10,Ugonna Onyenso,24,14,18.8,1.4,2.5,0.55,1.4,2.5,0.559,0.0,0.0,0.0,0.8,1.4,0.588,1.8,3.0,4.8,0.2,0.3,2.8,0.7,1.4,3.6,2022,Kentucky
42,11,Jordan Burks,20,0,7.2,0.8,1.3,0.6,0.7,1.0,0.65,0.1,0.3,0.4,0.3,0.5,0.556,0.5,1.2,1.7,0.3,0.2,0.2,0.3,1.2,1.9,2022,Kentucky
43,12,Joey Hart,7,0,1.4,0.1,0.3,0.5,0.0,0.1,0.0,0.1,0.1,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,2022,Kentucky
44,13,Brennan Canada,5,0,0.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,2022,Kentucky
45,14,Grant Darbyshire,4,0,0.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,Kentucky
46,15,Walker Horn,4,0,0.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,Kentucky
47,16,Kareem Watkins,6,1,0.8,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,2022,Kentucky
48,1,Antonio Reeves,33,33,31.4,7.1,13.9,0.512,4.6,8.2,0.557,2.5,5.7,0.447,3.4,4.0,0.863,0.7,3.4,4.2,1.6,0.7,0.2,1.2,1.8,20.2,2021,Kentucky
49,2,Rob Dillingham,32,1,23.3,5.4,11.3,0.475,3.4,6.8,0.495,2.0,4.5,0.444,2.4,3.1,0.796,0.3,2.7,2.9,3.9,1.0,0.1,2.0,2.6,15.2,2021,Kentucky
50,3,Reed Sheppard,33,5,28.9,4.3,8.0,0.536,2.0,3.6,0.555,2.3,4.4,0.521,1.6,2.0,0.831,0.4,3.8,4.1,4.5,2.5,0.7,2.0,1.9,12.5,2021,Kentucky
51,4,Tre Mitchell,27,24,30.3,3.8,7.9,0.484,2.9,4.9,0.595,0.9,3.0,0.305,2.1,2.9,0.744,1.8,5.4,7.2,2.6,0.7,1.0,1.4,2.6,10.7,2021,Kentucky
52,5,D.J. Wagner,29,28,25.8,3.6,8.9,0.405,2.7,5.6,0.472,1.0,3.3,0.292,1.7,2.2,0.766,0.2,1.7,1.9,3.3,0.8,0.2,1.5,1.6,9.9,2021,Kentucky
53,6,Justin Edwards,32,30,21.4,3.3,6.8,0.486,2.3,4.2,0.564,1.0,2.7,0.365,1.2,1.5,0.776,1.2,2.2,3.4,0.9,0.9,0.2,0.8,2.2,8.8,2021,Kentucky
54,7,Adou Thiero,25,19,21.4,2.6,5.3,0.492,2.3,4.4,0.527,0.3,0.9,0.318,1.8,2.2,0.8,1.5,3.4,5.0,1.1,0.7,1.1,0.7,2.1,7.2,2021,Kentucky
