,Team,Expected Games,Player,EPTS,Total Expected Points
0,UConn,5.2129999999999495,Tristen Newton,17.334370160634087,90.36407164738462
56,Purdue,3.6539999999999697,Zach Edey,22.063362219347987,80.61952554949687
30,UNC,4.045999999999906,RJ Davis,18.672665168863087,75.5496032732183
14,Kentucky,4.627999999999955,Antonio Reeves,15.285075969026844,70.73933158465555
73,Creighton,3.1699999999999644,Baylor Scheierman,19.86567747488377,62.97419759538085
1,UConn,5.2129999999999495,Cam Spencer,12.020324828854116,62.6619533328159
15,Kentucky,4.627999999999955,Rob Dillingham,13.262436309219751,61.37855523906841
2,UConn,5.2129999999999495,Alex Karaban,11.27350250977958,58.76876858348037
74,Creighton,3.1699999999999644,Trey Alexander,18.48451353737457,58.59590791347673
31,UNC,4.045999999999906,Armando Bacot,14.282576358803222,57.787303947716495
96,Tennessee,3.0819999999999634,Dalton Knecht,18.533184058462474,57.11927326818067
32,UNC,4.045999999999906,Harrison Ingram,13.582106598563316,54.9532032977859
45,Houston,3.934999999999965,Jamal Shead,13.874932091651084,54.59785778064653
44,Houston,3.934999999999965,LJ Cryer,13.448844220154488,52.92120200630744
16,Kentucky,4.627999999999955,Reed Sheppard,11.347005493653931,52.513941424629884
57,Purdue,3.6539999999999697,Braden Smith,14.090566447073444,51.48692979760594
138,Arizona,2.841999999999968,Caleb Love,18.06171226524005,51.331386257811644
3,UConn,5.2129999999999495,Donovan Clingan,9.836660559831586,51.278511498401556
17,Kentucky,4.627999999999955,Tre Mitchell,10.962909825424386,50.73634667206357
152,Kansas,2.695999999999956,Kevin McCullar,18.66688538015085,50.32592298488587
85,Baylor,3.1039999999999712,Rayj Dennis,15.988745489177743,49.629065998407256
4,UConn,5.2129999999999495,Stephon Castle,9.49309550713404,49.48750687868927
267,Illinois,2.357999999999969,Terrence Shannon,20.93626866681805,49.36772151635632
124,Michigan State,2.9999999999999427,Tyson Walker,16.115575678725836,48.34672703617659
46,Houston,3.934999999999965,Emanuel Sharp,11.900463845023337,46.82832523016641
153,Kansas,2.695999999999956,Hunter Dickinson,17.20863373802203,46.39447655770664
280,Dayton,2.34399999999997,DaRon Holmes II,19.67327433343555,46.114155037572345
