,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Tristen Newton,34,34,33.1,4.5,11.0,0.412,2.8,5.6,0.497,1.8,5.4,0.324,4.4,5.4,0.804,1.4,5.6,7.0,6.0,1.0,0.4,2.6,1.8,15.2,2024
1,2,Cam Spencer,34,34,33.0,4.9,10.0,0.488,2.3,4.2,0.549,2.6,5.8,0.444,2.1,2.4,0.913,0.9,3.5,4.5,3.6,1.4,0.2,1.1,2.2,14.5,2024
2,3,Alex Karaban,33,33,31.5,5.1,10.2,0.501,2.9,4.6,0.632,2.2,5.6,0.395,1.5,1.6,0.889,1.3,3.7,5.0,1.4,0.9,0.8,1.0,1.9,13.9,2024
3,4,Donovan Clingan,29,27,21.9,5.0,7.9,0.638,5.0,7.7,0.646,0.1,0.2,0.333,2.4,4.2,0.57,2.6,4.6,7.2,1.5,0.4,2.3,0.8,2.0,12.5,2024
4,5,Stephon Castle,28,24,26.8,3.9,8.3,0.468,3.3,6.3,0.528,0.6,2.0,0.281,2.4,3.2,0.756,1.6,2.9,4.5,2.9,0.9,0.6,1.5,2.3,10.8,2024
5,6,Hassan Diarra,34,1,19.3,2.1,4.3,0.476,1.4,2.7,0.538,0.6,1.6,0.375,1.3,1.6,0.796,0.8,2.1,2.9,2.5,0.9,0.4,1.1,1.7,6.0,2024
6,7,Samson Johnson,34,7,16.6,2.5,3.5,0.723,2.5,3.4,0.735,0.0,0.1,0.0,0.4,1.0,0.429,1.1,1.9,3.0,0.5,0.5,0.9,0.8,3.0,5.5,2024
7,8,Solomon Ball,33,10,13.0,1.3,3.2,0.406,0.6,1.2,0.513,0.7,2.0,0.343,0.5,0.6,0.714,0.4,0.7,1.1,0.3,0.2,0.0,0.4,0.8,3.8,2024
8,9,Jaylin Stewart,31,0,8.9,1.1,2.3,0.471,0.8,1.2,0.667,0.3,1.1,0.265,0.2,0.5,0.438,0.5,0.8,1.2,0.3,0.1,0.2,0.3,0.8,2.6,2024
9,10,Apostolos Roumoglou,18,0,2.5,0.3,0.6,0.5,0.1,0.1,0.5,0.2,0.4,0.5,0.1,0.1,1.0,0.1,0.6,0.6,0.2,0.1,0.1,0.0,0.2,0.9,2024
10,11,Jayden Ross,17,0,5.4,0.3,1.1,0.263,0.2,0.5,0.5,0.1,0.6,0.091,0.1,0.2,0.667,0.2,0.5,0.7,0.3,0.2,0.0,0.1,0.4,0.8,2024
11,12,Andrew Hurley,12,0,1.5,0.2,0.5,0.333,0.0,0.1,0.0,0.2,0.4,0.4,0.1,0.2,0.5,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.6,2024
12,13,Youssouf Singare,19,0,2.1,0.1,0.2,0.333,0.1,0.2,0.333,0.0,0.0,,0.1,0.1,1.0,0.1,0.5,0.6,0.0,0.0,0.1,0.1,0.5,0.2,2024
13,14,Andre Johnson,9,0,0.9,0.0,0.1,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2024
14,1,Tristen Newton,34,34,33.1,4.5,11.0,0.412,2.8,5.6,0.497,1.8,5.4,0.324,4.4,5.4,0.804,1.4,5.6,7.0,6.0,1.0,0.4,2.6,1.8,15.2,2023
15,2,Cam Spencer,34,34,33.0,4.9,10.0,0.488,2.3,4.2,0.549,2.6,5.8,0.444,2.1,2.4,0.913,0.9,3.5,4.5,3.6,1.4,0.2,1.1,2.2,14.5,2023
16,3,Alex Karaban,33,33,31.5,5.1,10.2,0.501,2.9,4.6,0.632,2.2,5.6,0.395,1.5,1.6,0.889,1.3,3.7,5.0,1.4,0.9,0.8,1.0,1.9,13.9,2023
17,4,Donovan Clingan,29,27,21.9,5.0,7.9,0.638,5.0,7.7,0.646,0.1,0.2,0.333,2.4,4.2,0.57,2.6,4.6,7.2,1.5,0.4,2.3,0.8,2.0,12.5,2023
18,5,Stephon Castle,28,24,26.8,3.9,8.3,0.468,3.3,6.3,0.528,0.6,2.0,0.281,2.4,3.2,0.756,1.6,2.9,4.5,2.9,0.9,0.6,1.5,2.3,10.8,2023
19,6,Hassan Diarra,34,1,19.3,2.1,4.3,0.476,1.4,2.7,0.538,0.6,1.6,0.375,1.3,1.6,0.796,0.8,2.1,2.9,2.5,0.9,0.4,1.1,1.7,6.0,2023
20,7,Samson Johnson,34,7,16.6,2.5,3.5,0.723,2.5,3.4,0.735,0.0,0.1,0.0,0.4,1.0,0.429,1.1,1.9,3.0,0.5,0.5,0.9,0.8,3.0,5.5,2023
21,8,Solomon Ball,33,10,13.0,1.3,3.2,0.406,0.6,1.2,0.513,0.7,2.0,0.343,0.5,0.6,0.714,0.4,0.7,1.1,0.3,0.2,0.0,0.4,0.8,3.8,2023
22,9,Jaylin Stewart,31,0,8.9,1.1,2.3,0.471,0.8,1.2,0.667,0.3,1.1,0.265,0.2,0.5,0.438,0.5,0.8,1.2,0.3,0.1,0.2,0.3,0.8,2.6,2023
23,10,Apostolos Roumoglou,18,0,2.5,0.3,0.6,0.5,0.1,0.1,0.5,0.2,0.4,0.5,0.1,0.1,1.0,0.1,0.6,0.6,0.2,0.1,0.1,0.0,0.2,0.9,2023
24,11,Jayden Ross,17,0,5.4,0.3,1.1,0.263,0.2,0.5,0.5,0.1,0.6,0.091,0.1,0.2,0.667,0.2,0.5,0.7,0.3,0.2,0.0,0.1,0.4,0.8,2023
25,12,Andrew Hurley,12,0,1.5,0.2,0.5,0.333,0.0,0.1,0.0,0.2,0.4,0.4,0.1,0.2,0.5,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.6,2023
26,13,Youssouf Singare,19,0,2.1,0.1,0.2,0.333,0.1,0.2,0.333,0.0,0.0,,0.1,0.1,1.0,0.1,0.5,0.6,0.0,0.0,0.1,0.1,0.5,0.2,2023
27,14,Andre Johnson,9,0,0.9,0.0,0.1,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2023
28,1,Tristen Newton,34,34,33.1,4.5,11.0,0.412,2.8,5.6,0.497,1.8,5.4,0.324,4.4,5.4,0.804,1.4,5.6,7.0,6.0,1.0,0.4,2.6,1.8,15.2,2022
